№;Область;ФИЛИАЛ;АДРЕС;ТЕЛЕФОН;ОРИЕНТИР;Город / Район;Цена до офиса 1 кг / Следующий 1 кг;"Срок доставки до офиса
(в часах)";Цена до дома 1кг / Следующий 1 кг;"Срок доставки до дома
(в часах)"
62;Кашкадарья;Koson;ул. Касиблар 42;933810472;Тумор чойхонаси;Касан;;24 (соат 13:00 гача);;(1-3 кунгача)
63;Кашкадарья;Kitob;ул. Буюк Ипак йули, 44;933889851;Анор кафеси қаторида;Китаб ;;24 (соат 13:00 гача);;(1-2 кунгача)
64;Кашкадарья;Guzor;ул.Узбекистанская 3/14;933810646;Ёшлик Супермаркети рўпарасида;Гузар  ;;24 (соат 13:00 гача);;(1-3 кунгача)
65;Кашкадарья;Shahrisabz;ул.Ипак йули 107 ;933812383/933811716; Наврўз парки ;Шахрисабз;;24;;(1-2 кунгача)
66;Кашкадарья;Qarshi Komilon;ул.И.Каримова, 295 ;933812808/933817151;ИНФИН БАНК рўпарасиди;Карши 1;;24;;(1-2 кунгача)
67;Кашкадарья;Beshkent (Qarshi tumani);ул. Амира Тимура, 26;933881684;Узтелеком рўпарасиди;Бешкент;;24 (соат 13:00 гача);;(1-3 кунгача)
68;Кашкадарья;Mirishkor;улица Х.Х.Ниёзий, 2, Янги-Миришкор;933775186;Халк Банк ёнида;Миришкор;;24;;(1-2 кунгача)
69;Кашкадарья;Kasbi;Mustaqillik koʻchasi, 22А, Муглан;933775392;Туман Хокимият;Касби;;24 (соат 13:00 гача);;(1-3 кунгача)
70;Навои;Qiziltepa;ул. Мустакиллик, 13;933811175;Истиклол туйхонаси;Кизилтепа;;36;;(1-3 кунгача)
71;Навои;Konimex;ул. Али Абу Ибн Сины, 7;933819616;"Конимех ""Корзинка"" Супермаркет";Конимех;;36;;(1-3 кунгача)
72;Навои;Beshrabot (Navbahor);ул. Истиклол, 113;933780132;Навбахор туман Марказий бозори;Навбахор;;36;;(1-3 кунгача)
73;Навои;Nurota;ул. М. Рахимова, 3;933813078; Деҳқон бозори ёнида;Нурота;;36;;(1-3 кунгача)
74;Навои;Uchquduq;ул. Амира Тимура 1А;933881019;Узбегим студиоси;Учқудуқ;;36;;(1-3 кунгача)
75;Навои;Xatirchi;ул. Курбанова 22;933888901;Марказий бозор;Хатирчи;;24 (соат 13:00 гача);;(1-3 кунгача)
76;Навои;Karmana;ул.Любатон 230;933819101;Автовокзал;Кармана;;24;;(1-2 кунгача)
77;Навои;Navoiy Vosxod;ул.Жанубии 29/3;933819808/933819171;Восход, 6-мактаб;Навои1;;24;;(1-2 кунгача)
78;Навои;Zarafshon;ул. Амира Тимура 20;933815242;Авикасса ёнида;Зарафшан;;36;;(1-3 кунгача)
79;Наманган;Toshbuloq (Namangan tumani);ул. Мустакиллик, 2;933784520;Ўзбекистон биноси ёнида;Тошбулоқ;;24 (соат 13:00 гача);;(1-2 кунгача)
80;Наманган;Jumashuy  ( Mingbuloq);Ozodlik ko‘chasi 26- uy;933881541;Хон чойхонаси;Мингбулоқ;;24 (соат 13:00 гача);;(1-2 кунгача)
81;Наманган;Turaqo'rg'on;ул. Касансайская, 6;933813144; Марказий дехкон бозор ;Туракурган;;24;;(1-2 кунгача)
82;Наманган;Kosonsoy;Me'mor ko'chasi 1A uy;933881653; Мах Савдо маркази 1-қават;Касансай;;24;;(1-2 кунгача)
83;Наманган;Xaqqulobod;ул. Узбекистанская, 56;933886467; Маданият маркази рўпарасида;Хаккулабад;;24;;(1-2 кунгача)
84;Наманган;Chust;Ипак йўли кўчаси 7 уй;933811201;Автокасса ;Чуст;;24;;(1-2 кунгача)
85;Наманган;Namangan Sardoba;Алишер Навои кучаси 36 уй;933817990;СAРДОБA савдо маркази;Наманган 3;;24;;(1-2 кунгача)
86;Наманган;Namangan Lola;проспект Бабура, 22;933812898/933810392;Ҳамроҳ Кредит дукони ;Наманган 2;;24;;(1-2 кунгача)
87;Наманган;Uchqo'rg'on;ул. Мустакиллик 16;933811382;Солик идораси олдида;Учкурган  ;;24 (соат 13:00 гача);;(1-2 кунгача)
88;Наманган;Pop;Хазиратибоб кўчаси 3 уй;933812838;Поп тумани Солиқ инспекцияси;Пап  ;;24 (соат 13:00 гача);;(1-2 кунгача)
89;Наманган;Namangan ;Кукимбой шох, 6 мкр.-17;933819160/933812421; Микро Кредит Банк;Наманган 1;;24;;(1-2 кунгача)
90;Наманган;Uychi;улица А. Темур, 111, EMU;933774134; Марказий дехкон бозор ;Уйчи;;24 (соат 13:00 гача);;(1-3 кунгача)
